name,id,external_id,attack_url,class,tactics,platforms,permissions,rule_id,rule_desc,rule_evidence,is_fallback
Application Layer Protocol,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,T1071,https://attack.mitre.org/techniques/T1071,VMR,command-and-control,Linux;macOS;Windows;Network Devices;ESXi,,R8_DEFAULT_VMR,no explicit rule fired,,True
AppDomainManager,attack-pattern--356662f7-e315-4759-86c9-6214e2a50ff8,T1574.014,https://attack.mitre.org/techniques/T1574/014,VMR,defense-evasion;persistence;privilege-escalation,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Scheduled Task/Job,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,T1053,https://attack.mitre.org/techniques/T1053,VMR,execution;persistence;privilege-escalation,Windows;Linux;macOS;Containers;ESXi,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Scheduled Task/Job,False
Msiexec,attack-pattern--365be77f-fc0e-42ee-bac8-4faf806d9336,T1218.007,https://attack.mitre.org/techniques/T1218/007,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Network Trust Dependencies,attack-pattern--36aa137f-5166-41f8-b2f0-a4cfa1b4133e,T1590.003,https://attack.mitre.org/techniques/T1590/003,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Password Filter DLL,attack-pattern--3731fbcd-0e43-47ae-ae6c-d15e510f0d42,T1556.002,https://attack.mitre.org/techniques/T1556/002,VMR,credential-access;defense-evasion;persistence,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Terminal Services DLL,attack-pattern--379809f6-2fac-42c1-bd2e-e9dee70b27f8,T1505.005,https://attack.mitre.org/techniques/T1505/005,VMR,persistence,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
AppleScript,attack-pattern--37b11151-1776-4f8f-b328-30939fbf2ceb,T1059.002,https://attack.mitre.org/techniques/T1059/002,VMR,execution,macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Software Extensions,attack-pattern--389735f1-f21c-4208-b8f0-f8031e7169b8,T1176,https://attack.mitre.org/techniques/T1176,VMR,persistence,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Compromise Hardware Supply Chain,attack-pattern--39131305-9282-45e4-ac3b-591d2d4fc3ef,T1195.003,https://attack.mitre.org/techniques/T1195/003,VMR,initial-access,Linux;macOS;Windows,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Compromise Hardware Supply Chain,False
Native API,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,T1106,https://attack.mitre.org/techniques/T1106,VMR,execution,Linux;macOS;Windows,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Native API,False
Ccache Files,attack-pattern--394220d9-8efc-4252-9040-664f7b115be6,T1558.005,https://attack.mitre.org/techniques/T1558/005,VMR,credential-access,Linux;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Clear Network Connection History and Configurations,attack-pattern--3975dbb5-0e1e-4f5b-bae1-cf2ab84b46dc,T1070.007,https://attack.mitre.org/techniques/T1070/007,VMR,defense-evasion,Linux;macOS;Windows;Network Devices,,R8_DEFAULT_VMR,no explicit rule fired,,True
AS-REP Roasting,attack-pattern--3986e7fd-a8e9-4ecb-bfc6-55920855912b,T1558.004,https://attack.mitre.org/techniques/T1558/004,VMR,credential-access,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
