is_name,is_id,software_count
Molerats,intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,6
Stealth Falcon,intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,0
DarkVishnya,intrusion-set--813636db-3939-4a45-bea9-6113e970c029,2
APT37,intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,13
Threat Group-1314,intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,2
APT41,intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,32
INC Ransom,intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,8
FIN13,intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,4
Group5,intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,2
PLATINUM,intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,3
GALLIUM,intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,16
FIN10,intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,1
Winnti Group,intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,3
FIN8,intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,11
Rocke,intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,0
RedEcho,intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,1
Saint Bear,intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,2
Scattered Spider,intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,9
CURIUM,intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,1
Windigo,intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,1
Blue Mockingbird,intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,2
RedCurl,intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,0
FIN4,intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,0
Contagious Interview,intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,4
Gorgon Group,intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,4
Sidewinder,intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,1
Higaisa,intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,3
APT30,intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,5
Windshift,intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,1
Confucius,intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,1
BlackByte,intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,8
Threat Group-3390,intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,24
Tonto Team,intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,6
Gamaredon Group,intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,6
Agrius,intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,9
Sea Turtle,intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,1
Rancor,intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,4
Moonstone Sleet,intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,1
TA551,intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,5
Salt Typhoon,intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,1
Axiom,intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,8
Dark Caracal,intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,3
Nomadic Octopus,intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,1
APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,3
APT3,intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,6
Putter Panda,intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45,4
Metador,intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,2
TA459,intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,4
ZIRCONIUM,intrusion-set--4283ae19-69c7-4347-a35e-b56f08eb660b,0
APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,17
Naikon,intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,15
Sowbug,intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,2
Mofang,intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,2
Machete,intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,1
FIN5,intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,6
Winter Vivern,intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c,0
SideCopy,intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,2
APT33,intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,16
Lotus Blossom,intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,9
GOLD SOUTHFIELD,intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,2
Volatile Cedar,intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,2
