campaign_name,campaign_id,inferred_os,signal_sources,signal_count,confidence,has_campaign_specific,has_generic_only,narrowing_score,technique_platforms,software_platforms,tactic_implied,description_mined
2015 Ukraine Electric Power Attack,campaign--46421788-b6e1-4256-b351-f8beffd1afba,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.5,ESXi;Linux;Windows;macOS,Linux;Windows,Windows,
2016 Ukraine Electric Power Attack,campaign--aa73efef-1418-4dbe-b43c-87a498e97234,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
2022 Ukraine Electric Power Attack,campaign--df8eb785-70f8-4300-b444-277ba849083d,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
3CX Supply Chain Attack,campaign--4fd53ccc-c6b1-4e3c-abe8-a456d46d789e,ESXi;Linux;Windows;macOS,description_mined;software_platforms;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,Windows;macOS
APT28 Nearest Neighbor Campaign,campaign--a010610e-22cb-437e-bfde-b78861bdca7a,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
APT41 DUST,campaign--add4d9de-1256-4166-83b8-57087288dced,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
ArcaneDoor,campaign--a543ef15-91ea-4aa9-9c10-267d56e1ee82,ESXi;Linux;Windows;macOS,tactic_implied;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,,Windows,
C0010,campaign--ab747e62-1bcb-479f-a26b-1cd39d413d81,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
C0011,campaign--b4e5a4a9-f3be-4631-ba8f-da6ebb067fac,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
C0015,campaign--78068e68-4124-4243-b6f4-76e4e5be8a06,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
C0017,campaign--ba6dfa37-f401-4140-88b0-8938f2895e61,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
C0018,campaign--519ee082-8ab6-439b-988f-a8a3f02c8d30,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
C0021,campaign--712e38c3-a656-426a-9b3b-a6bfb63294c6,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
C0026,campaign--c89fa3ff-4773-4daf-8aec-d8f43f10116e,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
C0027,campaign--df74f7ad-b10d-431c-9f1d-a2bc18dadefa,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
C0032,campaign--7ec2826c-0bf0-4b47-acae-fd683431a4ca,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
C0033,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,Windows,description_mined;software_platforms,2,high,True,False,0.0,,Windows,,Windows
CostaRicto,campaign--f9cc545e-b0ef-4b92-8884-a3a4427609f6,ESXi;Linux;SSH;Windows;macOS,description_mined;software_platforms;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,SSH
Cutting Edge,campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,ESXi;Linux;VPN;Windows;macOS,description_mined;software_platforms;tactic_implied;technique_platforms,4,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,VPN
FLORAHOX Activity,campaign--f494272a-c110-4574-be90-42c4957f7ae7,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
Frankenstein,campaign--26d9ebae-de59-427f-ae9a-349456bae4b1,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
FrostyGoop Incident,campaign--1169ff24-b35f-4d8d-8cf3-643a2834227f,ESXi;Linux;Windows;macOS,tactic_implied;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,,Windows,
FunnyDream,campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
HomeLand Justice,campaign--7e21077d-2589-43a7-a5f9-490061289526,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
Indian Critical Infrastructure Intrusions,campaign--4b7f9839-4822-4c19-8a1f-70bb61ba97e1,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
J-magic Campaign,campaign--58c4fd17-88f5-433a-8242-e9cac31f3c45,ESXi;Linux;VPN;Windows;macOS,description_mined;technique_platforms,2,medium,True,False,1.0,ESXi;Linux;Windows;macOS,,,VPN
