campaign_name,campaign_id,technique_count,technique_ids,tactic_count,tactic_sequence,software_count,software_ids,cve_count,cve_ids,platform_signals,has_initial_access,has_exfiltration
Operation Ghost,campaign--7854c1a0-f06c-4876-98a4-4bbd34751b05,8,T1001.002;T1027.003;T1078.002;T1102.002;T1546.003;T1583.001;T1585.001;T1587.001,6,resource-development;initial-access;persistence;privilege-escalation;defense-evasion;command-and-control,5,S0029;S0051;S0511;S0512;S0518,0,,ESXi;Linux;Windows;macOS,True,False
Operation Honeybee,campaign--4553292d-12c6-4a93-934d-12160370d4e0,28,T1005;T1027.013;T1036;T1036.005;T1041;T1057;T1059.003;T1059.005;T1070.004;T1071.002;T1074.001;T1082;T1083;T1105;T1106;T1112;T1140;T1204.002;T1543.003;T1548.002;T1553.002;T1560.001;T1569.002;T1574.011;T1583.001;T1583.004;T1585.002;T1588.004,9,resource-development;execution;persistence;privilege-escalation;defense-evasion;discovery;collection;command-and-control;exfiltration,5,S0057;S0075;S0096;S0106;S0464,0,,ESXi;Linux;Windows;macOS,False,True
Operation MidnightEclipse,campaign--455b011a-2510-49ab-a96f-2f84d6a80189,17,T1003.003;T1005;T1021.002;T1021.006;T1053.003;T1059.004;T1071.001;T1074.001;T1078;T1078.002;T1090;T1105;T1190;T1559;T1584.003;T1584.006;T1588.002,10,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;lateral-movement;collection;command-and-control,1,S1164,1,CVE-2024-3400,ESXi;Linux;Windows;macOS,True,False
Operation Sharpshooter,campaign--37764c78-2a99-46d1-a7ea-6454b9bf93a0,13,T1036.005;T1055;T1059.005;T1090;T1105;T1106;T1204.002;T1547.001;T1559.002;T1583.006;T1584.004;T1587.001;T1608.001,6,resource-development;execution;persistence;privilege-escalation;defense-evasion;command-and-control,1,S0448,0,,ESXi;Linux;Windows;macOS,False,False
Operation Spalax,campaign--4c840263-bbda-440d-a22b-674679ddebf1,17,T1027.002;T1027.003;T1027.013;T1059;T1102;T1140;T1204.001;T1204.002;T1218.011;T1497;T1566.001;T1566.002;T1568;T1583.001;T1588.001;T1588.002;T1608.001,6,resource-development;initial-access;execution;defense-evasion;discovery;command-and-control,2,S0332;S0385,0,,ESXi;Linux;Windows;macOS,True,False
Operation Wocao,campaign--b03d5112-e23a-4ac8-add0-be7502d24eff,70,T1001;T1003.001;T1003.006;T1005;T1007;T1012;T1016;T1016.001;T1018;T1021.002;T1027.005;T1027.010;T1033;T1036.005;T1041;T1046;T1047;T1049;T1053.005;T1055;T1056.001;T1057;T1059.001;T1059.003;T1059.005;T1059.006;T1069.001;T1070.001;T1070.004;T1071.001;T1074.001;T1078;T1078.002;T1078.003;T1082;T1083;T1087.002;T1090;T1090.001;T1090.003;T1095;T1105;T1106;T1111;T1112;T1115;T1119;T1120;T1124;T1133;T1135;T1190;T1505.003;T1518;T1518.001;T1552.004;T1555.005;T1558.003;T1560.001;T1562.004;T1569.002;T1570;T1571;T1573.002;T1583.004;T1585.002;T1587.001;T1588.002;T1589;T1680,13,reconnaissance;resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control;exfiltration,9,S0002;S0029;S0104;S0105;S0183;S0194;S0357;S0521;S0645,0,,ESXi;Linux;Windows;macOS,True,True
Outer Space,campaign--a1f5df89-ec82-45ef-b229-4ca6a407dc4f,8,T1027.013;T1059.005;T1071.001;T1105;T1217;T1584.004;T1585.003;T1587.001,5,resource-development;execution;defense-evasion;discovery;command-and-control,2,S1166;S1168,0,,ESXi;Linux;Windows;macOS,False,False
Pikabot Distribution February 2024,campaign--81e89fb4-8d07-4d8a-82f4-bf084f9d5d53,4,T1059.001;T1059.007;T1566.002;T1574,5,initial-access;execution;persistence;privilege-escalation;defense-evasion,1,S1145,0,,Linux;Windows;macOS,True,False
Quad7 Activity,campaign--e7511089-1076-4a3b-984d-1a0a8afe31e9,15,T1027.011;T1059.004;T1071.001;T1071.002;T1090.002;T1090.003;T1105;T1110.003;T1190;T1562.001;T1571;T1584.005;T1584.008;T1589.002;T1665,7,reconnaissance;resource-development;initial-access;execution;defense-evasion;credential-access;command-and-control,1,S0095,0,,ESXi;Linux;Windows;macOS,True,False
RedDelta Modified PlugX Infection Chain Operations,campaign--276671b5-5425-48db-ad65-c8c2564a969b,22,T1027.013;T1036.004;T1059.001;T1071.001;T1082;T1090;T1095;T1203;T1204.001;T1204.002;T1218.007;T1218.014;T1480;T1547.001;T1553.002;T1564.001;T1566.001;T1566.002;T1574.001;T1583.001;T1588.004;T1608.001,8,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;discovery;command-and-control,2,S0013;S0596,0,,ESXi;Linux;Windows;macOS,True,False
RedPenguin,campaign--35879bf3-0a21-4cc1-9e42-6de917a22501,26,T1014;T1016;T1027.013;T1036.005;T1040;T1041;T1055;T1057;T1059.004;T1059.008;T1070.004;T1070.007;T1078;T1090;T1090.003;T1095;T1104;T1105;T1140;T1203;T1205;T1554;T1562.003;T1571;T1573.001;T1587.001,10,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;command-and-control;exfiltration,2,S1219;S1220,0,,ESXi;Linux;Windows;macOS,True,True
SPACEHOP Activity,campaign--83e1f587-34da-44cc-b65b-a72479cb1616,4,T1090.003;T1190;T1583.003;T1588.002,3,resource-development;initial-access;command-and-control,0,,0,,ESXi;Linux;Windows;macOS,True,False
Salesforce Data Exfiltration,campaign--9cea8bec-07c5-422b-84b8-99d3128ce570,18,T1020;T1036;T1059.006;T1078.002;T1083;T1090;T1090.003;T1213.004;T1567;T1585;T1585.002;T1586.002;T1587.001;T1588.002;T1598.004;T1608.005;T1656;T1671,11,reconnaissance;resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;discovery;collection;command-and-control;exfiltration,1,S0183,0,,ESXi;Linux;Windows;macOS,True,True
ShadowRay,campaign--57899965-b171-48ed-bbb4-8faffa3d836a,10,T1003.008;T1016;T1027.013;T1059.006;T1068;T1105;T1190;T1496.001;T1546.004;T1588.002,10,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;command-and-control;impact,0,,1,CVE-2023-48022,ESXi;Linux;Windows;macOS,True,False
SharePoint ToolShell Exploitation,campaign--1a0576df-df21-4775-843e-844d8a58a94b,35,T1003.001;T1005;T1027.002;T1027.010;T1033;T1041;T1047;T1053.005;T1059.001;T1059.003;T1071.001;T1074.001;T1082;T1083;T1090;T1105;T1112;T1119;T1140;T1190;T1484.001;T1486;T1505.003;T1505.004;T1552.001;T1562.001;T1569.002;T1570;T1572;T1583.001;T1585.002;T1588.002;T1595.002;T1620;T1657,14,reconnaissance;resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control;exfiltration;impact,4,S0002;S0029;S0357;S0508,4,CVE-2025-49704;CVE-2025-49706;CVE-2025-53770;CVE-2025-53771,ESXi;Linux;Windows;macOS,True,True
SolarWinds Compromise,campaign--808d6b30-df4e-4341-8248-724da4bac650,71,T1003.006;T1005;T1016.001;T1018;T1021.001;T1021.002;T1021.006;T1036.004;T1036.005;T1047;T1048.002;T1053.005;T1057;T1059.001;T1059.003;T1059.005;T1069;T1069.002;T1070;T1070.004;T1070.006;T1070.008;T1071.001;T1074.002;T1078;T1078.002;T1078.003;T1078.004;T1083;T1087;T1087.002;T1090.001;T1098.001;T1098.002;T1098.003;T1098.005;T1105;T1114.002;T1133;T1140;T1190;T1195.002;T1199;T1213;T1213.003;T1218.011;T1482;T1484.002;T1539;T1546.003;T1550;T1550.001;T1550.004;T1552.004;T1553.002;T1555;T1555.003;T1558.003;T1560.001;T1562.001;T1562.002;T1562.004;T1568;T1583.001;T1584.001;T1587.001;T1589.001;T1606.001;T1606.002;T1665;T1680,13,reconnaissance;resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control;exfiltration,11,S0002;S0154;S0552;S0559;S0560;S0562;S0565;S0588;S0589;S0597;S0682,0,,ESXi;Linux;Windows;macOS,True,True
Triton Safety Instrumented System Attack,campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,10,T1003.001;T1027.005;T1036.005;T1053.005;T1056.003;T1059.001;T1573;T1587.001;T1588.002;T1595,9,reconnaissance;resource-development;execution;persistence;privilege-escalation;defense-evasion;credential-access;collection;command-and-control,1,S0002,0,,ESXi;Linux;Windows;macOS,False,False
Versa Director Zero Day Exploitation,campaign--af0ec65a-caa9-40ef-b1c7-21b71fbf3a10,8,T1056;T1071.001;T1095;T1190;T1505.003;T1573.002;T1584.008;T1587.001,6,resource-development;initial-access;persistence;credential-access;collection;command-and-control,1,S1154,1,CVE-2024-39717,ESXi;Linux;Windows;macOS,True,False
Water Curupira Pikabot Distribution,campaign--57541e3b-657e-463a-a4ab-ca08d7ea9965,10,T1059.003;T1059.007;T1105;T1140;T1204;T1204.001;T1204.002;T1218.011;T1566.001;T1589.002,5,reconnaissance;initial-access;execution;defense-evasion;command-and-control,3,S0483;S1111;S1145,0,,ESXi;Linux;Windows;macOS,True,False
