intrusion_set_id,feature_count,nearest_neighbor_id,nearest_distance,confused
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,81,intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,0.7156,False
intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,17,intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,0.8,False
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,79,intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,0.6695,False
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,66,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,0.7734,False
intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,15,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,0.7368,False
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,34,intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,0.6842,False
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,12,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,0.6875,False
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,44,intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,0.75,False
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,53,intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,0.697,False
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,58,intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,0.625,False
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,56,intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,0.7238,False
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,14,intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,0.5625,False
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,78,intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,0.6695,False
