campaign_name,campaign_id,software_count,platform_signal,os_families,raw_platforms,non_os_platforms,unknown_reason
Leviathan Australian Intrusions,campaign--b66bc597-399c-4e4d-828a-1ed4a7f1fb15,0,False,,,,no_linked_software
Water Curupira Pikabot Distribution,campaign--57541e3b-657e-463a-a4ab-ca08d7ea9965,3,True,Windows,Windows,,
ShadowRay,campaign--57899965-b171-48ed-bbb4-8faffa3d836a,0,False,,,,no_linked_software
Operation MidnightEclipse,campaign--455b011a-2510-49ab-a96f-2f84d6a80189,1,True,Linux,Linux;Network Devices,Network Devices,
C0032,campaign--7ec2826c-0bf0-4b47-acae-fd683431a4ca,1,True,Windows,Windows,,
Quad7 Activity,campaign--e7511089-1076-4a3b-984d-1a0a8afe31e9,1,True,Linux;Windows;macOS,Linux;Windows;macOS,,
HomeLand Justice,campaign--7e21077d-2589-43a7-a5f9-490061289526,7,True,Linux;Windows;macOS,Linux;Windows;macOS,,
Salesforce Data Exfiltration,campaign--9cea8bec-07c5-422b-84b8-99d3128ce570,1,True,Linux;Windows;macOS,Linux;Windows;macOS,,
SharePoint ToolShell Exploitation,campaign--1a0576df-df21-4775-843e-844d8a58a94b,4,True,Linux;Windows;macOS,Linux;Windows;macOS,,
C0017,campaign--ba6dfa37-f401-4140-88b0-8938f2895e61,6,True,Linux;Windows;macOS,Linux;Windows;macOS,,
Operation Spalax,campaign--4c840263-bbda-440d-a22b-674679ddebf1,2,True,Windows,Windows,,
Operation Sharpshooter,campaign--37764c78-2a99-46d1-a7ea-6454b9bf93a0,1,True,Windows,Windows,,
Cutting Edge,campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,11,True,Linux;Windows;macOS,Linux;Network Devices;Windows;macOS,Network Devices,
2022 Ukraine Electric Power Attack,campaign--df8eb785-70f8-4300-b444-277ba849083d,1,True,Windows,Windows,,
3CX Supply Chain Attack,campaign--4fd53ccc-c6b1-4e3c-abe8-a456d46d789e,1,True,Linux;Windows;macOS,Linux;Windows;macOS,,
C0011,campaign--b4e5a4a9-f3be-4631-ba8f-da6ebb067fac,1,True,Windows,Windows,,
J-magic Campaign,campaign--58c4fd17-88f5-433a-8242-e9cac31f3c45,1,True,,Network Devices,Network Devices,
Triton Safety Instrumented System Attack,campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,1,True,Windows,Windows,,
FrostyGoop Incident,campaign--1169ff24-b35f-4d8d-8cf3-643a2834227f,0,False,,,,no_linked_software
KV Botnet Activity,campaign--0c259854-4044-4f6c-ac49-118d484b3e3b,0,False,,,,no_linked_software
C0026,campaign--c89fa3ff-4773-4daf-8aec-d8f43f10116e,6,True,Linux;Windows;macOS,Linux;Windows;macOS,,
SPACEHOP Activity,campaign--83e1f587-34da-44cc-b65b-a72479cb1616,0,False,,,,no_linked_software
Pikabot Distribution February 2024,campaign--81e89fb4-8d07-4d8a-82f4-bf084f9d5d53,1,True,Windows,Windows,,
C0033,campaign--a82bc5ad-5f95-4c6a-9f25-aaf6f476a3c4,1,True,Windows,Windows,,
